"","temp","dewp","slp","wdsp","NUM_CRIMES"
"504",52,36.4,1023.6,7.1,801
"505",55.2,35.1,1022.8,3.9,764
"506",58.5,37.3,1021.1,5.6,805
"507",62.5,35.9,1019.2,8.3,792
"508",66.2,41.2,1018,6.4,750
"509",66.1,43.9,1015.7,5.7,782
"510",71.9,46.9,1013.8,9.3,803
"511",75.9,59.7,1014.2,8.2,721
"512",71.1,64.1,1012,8.2,767
"513",74.2,64.9,1010.9,8.1,800
"514",73,64.9,1011.1,12.8,791
"515",71.8,61.1,1014.3,11.6,798
"516",74.5,57.5,1015.3,5.6,820
"517",72.6,56.4,1014.7,7.7,756
"518",68.1,62.4,1013.5,5.6,937
"519",70.1,54,1015.2,5.9,800
"520",70.1,53.3,1016.9,3.1,822
"521",68.8,58.4,1011.7,6.9,827
"522",68.2,58.3,1004.5,9.8,777
"523",71.2,54.2,1004.2,10.3,792
"524",63.3,47.9,1008.6,10.3,754
"525",60.7,47.3,1014.4,6,744
"526",61,50.9,1015.8,6.1,727
"527",73.8,63.2,1013.6,7.5,765
"528",82.4,63.1,1012.9,8.1,816
"529",71.4,49.1,1018.3,10.5,852
"530",67.9,47.8,1017,5.7,794
"531",74.1,58.5,1011.1,6.7,835
"532",78.4,68.2,1006.9,8.8,790
"533",74.4,62.5,1007.8,10,821
"534",70.8,54.8,1016.3,8.1,830
"535",74.3,51.2,1021.3,5.2,763
"536",77.7,56,1022.2,5.7,811
"537",83.4,65.5,1017.3,11.6,857
"538",75.5,50.7,1015.3,8.7,825
"539",71.8,58.6,1012.2,6.2,749
"540",70.3,65.6,1010.2,6.7,801
"541",70.9,56.8,1016.6,7.4,807
"542",76.7,61.4,1017.5,7,813
"543",81.3,68.7,1014.7,9.2,775
"544",79.6,60,1015.8,9.1,771
"545",68.2,53.5,1019.7,9.9,767
"546",66.8,50.2,1019.8,5.2,804
"547",69.4,50.6,1016.3,6.9,847
"549",65.5,47.8,1020.8,4.1,756
"550",68,51.4,1018.4,6,782
"551",70.8,60.1,1012.6,6.5,848
"552",75.5,64.5,1010.9,6.1,895
"553",77.4,66.9,1009.6,8.7,742
"554",76.8,68.8,1009.1,5.4,790
"555",75.9,66.7,1009.1,8.3,790
"556",73.1,58.9,1014.1,9.8,729
"557",72.4,56.5,1017.4,3.8,760
"558",78.3,65.6,1013.9,8.4,701
"559",81.1,69.3,1010.2,11.9,780
"560",77.8,68.9,1011,7.8,726
"561",76,64.1,1010,12.3,769
"562",70.8,58.2,1013.8,8.9,846
"563",67.3,56.1,1019.3,4.4,780
"564",70.5,59.4,1016.6,9.6,789
"565",78.6,67.1,1018.1,5.1,799
"566",78.6,62.9,1022,4.1,791
"567",78.8,65.7,1021.4,5.4,825
"568",81,72.2,1017.6,7.2,785
"569",79.2,70.9,1015.2,8,792
"570",84.6,74.6,1014.3,3.7,814
"571",78.5,72.6,1012,11.2,790
"572",79,66.4,1013.8,7.2,827
"573",78.9,63.5,1016.3,3.1,877
"574",79.3,63.2,1015.1,3.2,795
"575",76.8,67.2,1012.2,5,774
"576",73.2,68.8,1012.5,6.6,802
"577",72.3,65.6,1014.1,8.3,927
"578",72.7,63.9,1016.1,6,813
"579",74.7,64.9,1017.6,5.2,882
"580",77.2,65.7,1017.9,4.8,793
"581",79.6,66.1,1017,3.1,772
"582",80.7,65.4,1014.5,4.6,793
"583",78.2,67.7,1011,6.7,862
"584",75.7,60.1,1014,6.8,828
"585",74.7,59,1016.1,4.4,838
"586",76.9,61,1016.9,8.7,804
"587",77.7,60.8,1015.4,5.7,725
"588",80.4,65.5,1016.9,3.6,722
"589",81.7,68.7,1014.5,7.9,852
"590",79.9,72.8,1010,5.3,746
"591",77,71.3,1008.7,7.3,827
"592",76.7,63.7,1014.7,4.8,843
"593",74.5,66.1,1017.6,6,843
"594",76.5,67.1,1015.9,7,816
"595",77,65.6,1017.6,6,862
"596",76.9,69,1016.3,4.4,767
"597",75.3,66.2,1012.5,7.9,793
"598",74.7,68.4,1006,9.2,844
"599",66.4,55.3,1010.1,9.7,786
"600",67.1,52,1019.7,3.8,728
"601",70.5,58.1,1021.3,9.1,753
"602",74.9,66.5,1016.2,10.7,823
"603",76.4,69,1015,5.3,770
"604",72.4,61.3,1019.4,5.5,803
"605",73.6,67.2,1017.7,7.2,819
"606",76.9,69.4,1019.9,5.2,805
"607",75.7,69.3,1022.6,5.4,884
"608",75.6,70.6,1019.6,3.4,755
"609",72.9,62.5,1017.4,8.5,780
"611",67.6,55.3,1023.7,7.9,799
"612",67.9,56,1022.7,5.2,830
"613",69,57.6,1021.3,6,779
"614",73.2,62.4,1018.8,8.2,822
"615",82.2,71.6,1016.6,8.5,761
"616",82.5,72.4,1014.7,8,723
"617",76.3,70,1011.2,8.5,795
"618",73.8,66.4,1012.9,4.6,818
"619",68.8,59.9,1011.3,8.3,767
"620",64.7,51.4,1020.3,5.2,758
"621",66.5,51.9,1019.1,7.5,793
"622",72.2,58.3,1016.7,7,786
"623",69.4,59.2,1021.9,7.9,820
"624",68.2,57.5,1022.9,6.4,823
"625",72,60.8,1016.2,10.2,807
"626",73.9,62.3,1012.2,8.7,834
"627",69.1,54.7,1014.2,3.5,781
"628",71.4,53.2,1015.4,6.4,712
"629",74.8,54.9,1019.2,7.5,792
"630",70.2,60.9,1019.8,6.3,731
"631",71.4,63.4,1017.8,4.1,831
"632",71.7,65.4,1017.5,7.3,845
"633",68.5,62.5,1020.7,8.3,833
"634",71.7,62.7,1017.5,7.9,809
"635",65.9,48.1,1013.9,13,764
"636",60.1,35.5,1010.2,12.2,735
"637",56,45.4,1010.8,9.5,634
"638",60.7,55.9,1020,13.9,702
"639",61.8,58.4,1020.7,11,772
"640",61,57.7,1016.7,6.8,862
"641",59.7,57,1016.9,6.3,707
"642",61.9,56.4,1018.9,3.2,772
"643",65.2,56.4,1017.5,7.1,743
"644",68.7,57.7,1013.7,9.6,805
"645",65.8,59.7,1017.6,4.4,754
"646",65.2,57.4,1016.9,9.1,863
"647",52.4,38,1024,6.3,715
"648",55.9,45.7,1026,6.6,682
"649",56,45.4,1026.9,4.5,724
"650",63,49.9,1021.9,8.6,697
"651",62.3,53.6,1015.5,10.3,746
"652",47.9,36.9,1024.6,6.9,693
"653",50.2,39.9,1024.7,5,821
"654",58,52.6,1016.9,10,823
"655",68.5,62.7,1012,8.6,790
"656",71.8,64.5,1004.9,12.5,817
"657",73.9,58.8,1002,14.1,774
"658",60.4,46,1016.6,3.3,712
"659",54.8,47.2,1019.9,9.3,717
"660",47.7,33.9,1021.6,12,760
"661",46.6,32.2,1019.3,6.5,773
"662",55,43.7,1013.9,7.3,785
"663",53.7,40.3,1024.7,9.2,770
"664",46,36.8,1029.9,3.6,736
"665",47.8,42.1,1024.1,11.5,699
"666",47.6,42.6,1021,7.6,730
"667",48.9,43.4,1022.2,6.6,802
"668",65.8,58.1,1012.5,11.2,831
"669",54.5,49.3,1018.7,9.6,786
"670",47.9,41.4,1020.3,6.6,867
