"","month","year","temp","dewp","NUM_CRIMES"
"419","Mar",2016,61.1,55.1,679
"420","Mar",2016,49,40.9,716
"421","Mar",2016,42.7,34.4,733
"422","Mar",2016,43.3,36.6,746
"423","Mar",2016,46.8,42.8,628
"424","Mar",2016,46.9,44.1,684
"425","Mar",2016,49.5,45.2,713
"426","Mar",2016,52.6,42.1,745
"427","Mar",2016,47.4,29.3,738
"428","Mar",2016,41.3,27.6,791
"429","Mar",2016,38.5,30.4,699
"430","Mar",2016,36.8,25.7,685
"431","Mar",2016,38.4,23.6,699
"432","Mar",2016,47.8,31.3,722
"433","Mar",2016,41.6,35.3,686
"434","Mar",2016,37.1,35.9,677
"435","Mar",2016,34.5,26.5,717
"436","Mar",2016,40.1,31.9,735
"437","Mar",2016,46.9,37.8,631
"438","Mar",2016,45.1,36.9,741
"439","Mar",2016,43.7,31.2,739
"440","Mar",2016,48.9,35,716
"441","Mar",2016,59.8,54.5,754
"442","Apr",2016,44.9,37,826
"443","Apr",2016,35.2,25.1,651
"444","Apr",2016,40.1,21.6,706
"445","Apr",2016,40.6,28.5,660
"446","Apr",2016,33.5,18.2,677
"447","Apr",2016,44.5,37.6,660
"448","Apr",2016,40,33.8,742
"449","Apr",2016,36.9,27.7,626
"450","Apr",2016,30,15.1,689
"451","Apr",2016,37.1,27.1,704
"452","Apr",2016,47.7,38.8,676
"453","Apr",2016,39.7,21.5,701
"454","Apr",2016,42.7,26.8,715
"455","Apr",2016,47.7,29,691
"456","Apr",2016,53.5,31.7,811
"457","Apr",2016,57.6,38.4,734
"458","Apr",2016,62.5,39.5,708
"459","Apr",2016,65.7,39.7,738
"460","Apr",2016,54,40.6,703
"461","Apr",2016,58.1,41.6,690
"462","Apr",2016,61.6,52.8,714
"463","Apr",2016,51.2,44,731
"464","Apr",2016,47.6,37.8,694
"465","Apr",2016,56.2,42.6,756
"466","Apr",2016,69,52,758
"467","Apr",2016,53.4,46,693
"468","Apr",2016,44,38.4,661
"469","Apr",2016,44.9,40.7,731
"470","Apr",2016,44.3,39.9,719
"471","Apr",2016,44.8,39.9,605
"472","May",2016,45.2,43.6,820
"473","May",2016,49.3,38.7,757
"474","May",2016,52.8,36,735
"475","May",2016,52.3,40.3,682
"476","May",2016,48.8,36.7,701
"477","May",2016,59.2,41.2,794
"478","May",2016,64.6,42.6,742
"479","May",2016,55,31.3,729
"480","May",2016,55.9,43.4,732
"481","May",2016,54.2,52.9,713
"482","May",2016,58.2,55.3,758
"483","May",2016,61.2,56.3,690
"484","May",2016,57.6,44.5,808
"485","May",2016,46.3,37,723
"486","May",2016,45,28.4,739
"487","May",2016,55.7,34.6,782
"488","May",2016,54.3,41.7,692
"489","May",2016,52,36.4,801
"490","May",2016,55.2,35.1,764
"491","May",2016,58.5,37.3,805
"492","May",2016,62.5,35.9,792
"493","May",2016,66.2,41.2,750
"494","May",2016,66.1,43.9,782
"495","May",2016,71.9,46.9,803
"496","May",2016,75.9,59.7,721
"497","May",2016,71.1,64.1,767
"498","May",2016,74.2,64.9,800
"499","May",2016,73,64.9,791
"500","May",2016,71.8,61.1,798
"501","May",2016,74.5,57.5,820
"502","May",2016,72.6,56.4,756
"503","Jun",2016,68.1,62.4,937
"504","Jun",2016,70.1,54,800
"505","Jun",2016,70.1,53.3,822
"506","Jun",2016,68.8,58.4,827
"507","Jun",2016,68.2,58.3,777
"508","Jun",2016,71.2,54.2,792
"509","Jun",2016,63.3,47.9,754
"510","Jun",2016,60.7,47.3,744
"511","Jun",2016,61,50.9,727
"512","Jun",2016,73.8,63.2,765
"513","Jun",2016,82.4,63.1,816
"514","Jun",2016,71.4,49.1,852
"515","Jun",2016,67.9,47.8,794
"516","Jun",2016,74.1,58.5,835
"517","Jun",2016,78.4,68.2,790
"518","Jun",2016,74.4,62.5,821
"519","Jun",2016,70.8,54.8,830
"520","Jun",2016,74.3,51.2,763
"521","Jun",2016,77.7,56,811
"522","Jun",2016,83.4,65.5,857
"523","Jun",2016,75.5,50.7,825
"524","Jun",2016,71.8,58.6,749
"525","Jun",2016,70.3,65.6,801
"526","Jun",2016,70.9,56.8,807
"527","Jun",2016,76.7,61.4,813
"528","Jun",2016,81.3,68.7,775
"529","Jun",2016,79.6,60,771
"530","Jun",2016,68.2,53.5,767
"531","Jun",2016,66.8,50.2,804
"532","Jun",2016,69.4,50.6,847
"533","Jul",2016,65.5,47.8,756
"534","Jul",2016,68,51.4,782
"535","Jul",2016,70.8,60.1,848
"536","Jul",2016,75.5,64.5,895
"537","Jul",2016,77.4,66.9,742
"538","Jul",2016,76.8,68.8,790
"539","Jul",2016,75.9,66.7,790
"540","Jul",2016,73.1,58.9,729
"541","Jul",2016,72.4,56.5,760
"542","Jul",2016,78.3,65.6,701
"543","Jul",2016,81.1,69.3,780
"544","Jul",2016,77.8,68.9,726
"545","Jul",2016,76,64.1,769
"546","Jul",2016,70.8,58.2,846
"547","Jul",2016,67.3,56.1,780
"548","Jul",2016,70.5,59.4,789
"549","Jul",2016,78.6,67.1,799
"550","Jul",2016,78.6,62.9,791
"551","Jul",2016,78.8,65.7,825
"552","Jul",2016,81,72.2,785
"553","Jul",2016,79.2,70.9,792
"554","Jul",2016,84.6,74.6,814
"555","Jul",2016,78.5,72.6,790
"556","Jul",2016,79,66.4,827
"557","Jul",2016,78.9,63.5,877
"558","Jul",2016,79.3,63.2,795
"559","Jul",2016,76.8,67.2,774
"560","Jul",2016,73.2,68.8,802
"561","Jul",2016,72.3,65.6,927
"562","Jul",2016,72.7,63.9,813
"563","Aug",2016,74.7,64.9,882
"564","Aug",2016,77.2,65.7,793
"565","Aug",2016,79.6,66.1,772
"566","Aug",2016,80.7,65.4,793
"567","Aug",2016,78.2,67.7,862
"568","Aug",2016,75.7,60.1,828
"569","Aug",2016,74.7,59,838
"570","Aug",2016,76.9,61,804
"571","Aug",2016,77.7,60.8,725
"572","Aug",2016,80.4,65.5,722
"573","Aug",2016,81.7,68.7,852
"574","Aug",2016,79.9,72.8,746
"575","Aug",2016,77,71.3,827
"576","Aug",2016,76.7,63.7,843
"577","Aug",2016,74.5,66.1,843
"578","Aug",2016,76.5,67.1,816
"579","Aug",2016,77,65.6,862
"580","Aug",2016,76.9,69,767
"581","Aug",2016,75.3,66.2,793
"582","Aug",2016,74.7,68.4,844
"583","Aug",2016,66.4,55.3,786
"584","Aug",2016,67.1,52,728
"585","Aug",2016,70.5,58.1,753
"586","Aug",2016,74.9,66.5,823
"587","Aug",2016,76.4,69,770
"588","Aug",2016,72.4,61.3,803
"589","Aug",2016,73.6,67.2,819
"590","Aug",2016,76.9,69.4,805
"591","Aug",2016,75.7,69.3,884
"592","Aug",2016,75.6,70.6,755
"593","Aug",2016,72.9,62.5,780
"594","Sep",2016,67.6,55.3,799
"595","Sep",2016,67.9,56,830
"596","Sep",2016,69,57.6,779
"597","Sep",2016,73.2,62.4,822
"598","Sep",2016,82.2,71.6,761
"599","Sep",2016,82.5,72.4,723
"600","Sep",2016,76.3,70,795
"601","Sep",2016,73.8,66.4,818
"602","Sep",2016,68.8,59.9,767
"603","Sep",2016,64.7,51.4,758
"604","Sep",2016,66.5,51.9,793
"605","Sep",2016,72.2,58.3,786
"606","Sep",2016,69.4,59.2,820
"607","Sep",2016,68.2,57.5,823
"608","Sep",2016,72,60.8,807
"609","Sep",2016,73.9,62.3,834
"610","Sep",2016,69.1,54.7,781
"611","Sep",2016,71.4,53.2,712
"612","Sep",2016,74.8,54.9,792
"613","Sep",2016,70.2,60.9,731
"614","Sep",2016,71.4,63.4,831
"615","Sep",2016,71.7,65.4,845
"616","Sep",2016,68.5,62.5,833
"617","Sep",2016,71.7,62.7,809
"618","Sep",2016,65.9,48.1,764
"619","Sep",2016,60.1,35.5,735
"620","Sep",2016,56,45.4,634
"621","Sep",2016,60.7,55.9,702
"622","Sep",2016,61.8,58.4,772
"623","Oct",2016,61,57.7,862
"624","Oct",2016,59.7,57,707
"625","Oct",2016,61.9,56.4,772
"626","Oct",2016,65.2,56.4,743
"627","Oct",2016,68.7,57.7,805
"628","Oct",2016,65.8,59.7,754
"629","Oct",2016,65.2,57.4,863
"630","Oct",2016,52.4,38,715
"631","Oct",2016,55.9,45.7,682
"632","Oct",2016,56,45.4,724
"633","Oct",2016,63,49.9,697
"634","Oct",2016,62.3,53.6,746
"635","Oct",2016,47.9,36.9,693
"636","Oct",2016,50.2,39.9,821
"637","Oct",2016,58,52.6,823
"638","Oct",2016,68.5,62.7,790
"639","Oct",2016,71.8,64.5,817
"640","Oct",2016,73.9,58.8,774
"641","Oct",2016,60.4,46,712
"642","Oct",2016,54.8,47.2,717
"643","Oct",2016,47.7,33.9,760
"644","Oct",2016,46.6,32.2,773
"645","Oct",2016,55,43.7,785
"646","Oct",2016,53.7,40.3,770
"647","Oct",2016,46,36.8,736
"648","Oct",2016,47.8,42.1,699
"649","Oct",2016,47.6,42.6,730
"650","Oct",2016,48.9,43.4,802
"651","Oct",2016,65.8,58.1,831
"652","Oct",2016,54.5,49.3,786
"653","Oct",2016,47.9,41.4,867
"654","Nov",2016,65.3,55.7,910
"655","Nov",2016,62.3,57.5,749
"656","Nov",2016,56,50.5,783
"657","Nov",2016,52.8,44.1,783
"658","Nov",2016,54.7,44.3,821
"659","Nov",2016,56.1,46.5,753
"660","Nov",2016,53.8,42.7,738
"661","Nov",2016,55.7,45.4,644
"662","Nov",2016,49.5,35.4,680
"663","Nov",2016,49.4,33.8,723
"664","Nov",2016,49.4,36.1,797
"665","Nov",2016,41.8,31.4,780
"666","Nov",2016,44.6,30.4,660
"667","Nov",2016,48.4,35.5,670
"668","Nov",2016,46,42.3,712
"669","Nov",2016,48.1,41.7,770
"670","Nov",2016,54.6,45.8,811
"671","Nov",2016,62,49.2,794
"672","Nov",2016,37.9,24.8,677
"673","Nov",2016,29.2,15.9,663
"674","Nov",2016,30.1,17.2,683
"675","Nov",2016,32.8,25.5,722
"676","Nov",2016,39.8,35.6,699
"677","Nov",2016,40.3,36.5,534
"678","Nov",2016,37.3,32.6,689
"679","Nov",2016,37.8,32.2,719
"680","Nov",2016,37.8,35,693
"681","Nov",2016,44.1,40.5,693
"682","Nov",2016,49.7,42.7,698
"683","Nov",2016,40.8,34.8,697
"684","Dec",2016,37.5,31.8,822
"685","Dec",2016,37.4,30,835
"686","Dec",2016,33.3,23.2,758
"687","Dec",2016,31.5,26.8,595
"688","Dec",2016,31.9,30.2,678
"689","Dec",2016,32.9,30.3,688
"690","Dec",2016,26.2,18.3,660
"691","Dec",2016,21.3,12.7,606
"692","Dec",2016,22.9,15.3,668
"693","Dec",2016,20.1,12.5,612
"694","Dec",2016,25.2,21,629
"695","Dec",2016,15,7,574
"696","Dec",2016,9.6,-0.3,610
"697","Dec",2016,3.9,-6.7,580
"698","Dec",2016,11.7,2.5,695
"699","Dec",2016,20.4,16.3,614
"700","Dec",2016,11.3,4.4,526
"701","Dec",2016,-0.6,-10.3,660
"702","Dec",2016,19.6,7.6,693
"703","Dec",2016,26,18.7,728
"704","Dec",2016,34.1,25.7,702
"705","Dec",2016,30.6,25.2,728
"706","Dec",2016,34.9,31.3,604
"707","Dec",2016,45.1,39.2,647
"708","Dec",2016,28,18.5,663
"709","Dec",2016,29.6,22,722
"710","Dec",2016,33.6,25.3,647
"711","Dec",2016,29.3,17.1,742
"712","Dec",2016,35.5,21.4,704
"713","Jan",2017,34,27.9,613
