"","temp","dewp","max","min","NUM_CRIMES"
"501",45,28.4,55,35.1,739
"502",55.7,34.6,70,35.1,782
"503",54.3,41.7,70,46,692
"504",52,36.4,64.9,41,801
"505",55.2,35.1,69.1,39,764
"506",58.5,37.3,69.1,39,805
"507",62.5,35.9,75,44.1,792
"508",66.2,41.2,77,53.1,750
"509",66.1,43.9,81,48,782
"510",71.9,46.9,86,48,803
"511",75.9,59.7,86,60.1,721
"512",71.1,64.1,86,62.1,767
"513",74.2,64.9,82.9,62.1,800
"514",73,64.9,81,66,791
"515",71.8,61.1,81,63,798
"516",74.5,57.5,87.1,63,820
"517",72.6,56.4,87.1,63,756
"518",68.1,62.4,82.9,63,937
"519",70.1,54,79,57,800
"520",70.1,53.3,84,55,822
"521",68.8,58.4,84,55,827
"522",68.2,58.3,79,61,777
"523",71.2,54.2,82,59,792
"524",63.3,47.9,82,55.9,754
"525",60.7,47.3,70,51.1,744
"526",61,50.9,72,52,727
"527",73.8,63.2,90,53.1,765
"528",82.4,63.1,91,63,816
"529",71.4,49.1,91,62.1,852
"530",67.9,47.8,86,54,794
"531",74.1,58.5,87.1,54,835
"532",78.4,68.2,90,64,790
"533",74.4,62.5,90,66,821
"534",70.8,54.8,84.9,61,830
"535",74.3,51.2,87.1,57.9,763
"536",77.7,56,89.1,57.9,811
"537",83.4,65.5,91.9,78.1,857
"538",75.5,50.7,93,64,825
"539",71.8,58.6,84,64,749
"540",70.3,65.6,78.1,66.2,801
"541",70.9,56.8,82,62.1,807
"542",76.7,61.4,89.1,62.1,813
"543",81.3,68.7,90,64.9,775
"544",79.6,60,90,69.1,771
"545",68.2,53.5,90,63,767
"546",66.8,50.2,81,55,804
"547",69.4,50.6,81,55,847
"548",68.5,56.1,78.1,61,962
"549",65.5,47.8,75.9,54,756
"550",68,51.4,77,54,782
"551",70.8,60.1,79,55,848
"552",75.5,64.5,87.1,66,895
"553",77.4,66.9,88,66,742
"554",76.8,68.8,88,66.9,790
"555",75.9,66.7,86,68,790
"556",73.1,58.9,86,64.9,729
"557",72.4,56.5,82,60.1,760
"558",78.3,65.6,90,60.1,701
"559",81.1,69.3,90,69.1,780
"560",77.8,68.9,88,68,726
"561",76,64.1,88,66.9,769
"562",70.8,58.2,88,64,846
"563",67.3,56.1,77,57,780
"564",70.5,59.4,82.9,57,789
"565",78.6,67.1,88,61,799
"566",78.6,62.9,91,68,791
"567",78.8,65.7,91,68,825
"568",81,72.2,91,69.1,785
"569",79.2,70.9,91,72,792
"570",84.6,74.6,91,72,814
"571",78.5,72.6,93,70,790
"572",79,66.4,93,71.1,827
"573",78.9,63.5,89.1,69.1,877
"574",79.3,63.2,89.1,68,795
"575",76.8,67.2,89.1,68,774
"576",73.2,68.8,84,70,802
"577",72.3,65.6,81,70,927
"578",72.7,63.9,81,64.9,813
"579",74.7,64.9,84,64.9,882
"580",77.2,65.7,87.1,64.9,793
"581",79.6,66.1,90,66.9,772
"582",80.7,65.4,91,69.1,793
"583",78.2,67.7,91,70,862
"584",75.7,60.1,86,66,828
"585",74.7,59,87.8,62.1,838
"586",76.9,61,84,72,804
"587",77.7,60.8,88,66.9,725
"588",80.4,65.5,89.1,66.9,722
"589",81.7,68.7,91.9,69.1,852
"590",79.9,72.8,91.9,73,746
"591",77,71.3,82.9,73.4,827
"592",76.7,63.7,87.1,64.9,843
"593",74.5,66.1,87.1,64.9,843
"594",76.5,67.1,88,66.9,816
"595",77,65.6,88,70,862
"596",76.9,69,88,70,767
"597",75.3,66.2,84.9,66,793
"598",74.7,68.4,84,66,844
"599",66.4,55.3,80.1,57.9,786
"600",67.1,52,78.1,55.9,728
"601",70.5,58.1,81,55.9,753
"602",74.9,66.5,84,60.1,823
"603",76.4,69,84.9,70,770
"604",72.4,61.3,84.9,66,803
"605",73.6,67.2,84,66,819
"606",76.9,69.4,84,66.9,805
"607",75.7,69.3,86,70,884
"608",75.6,70.6,86,70,755
"609",72.9,62.5,84,68,780
"610",67.2,56.5,75.9,62.1,1037
"611",67.6,55.3,73.9,62.1,799
"612",67.9,56,75.9,55.9,830
"613",69,57.6,80.1,55.9,779
"614",73.2,62.4,87.1,59,822
"615",82.2,71.6,91,62.1,761
"616",82.5,72.4,91,75,723
"617",76.3,70,89.1,71.1,795
"618",73.8,66.4,82,63,818
"619",68.8,59.9,81,63,767
"620",64.7,51.4,75.9,51.1,758
"621",66.5,51.9,79,51.1,793
"622",72.2,58.3,84.9,54,786
"623",69.4,59.2,84.9,64,820
"624",68.2,57.5,78.1,60.1,823
"625",72,60.8,82.9,60.1,807
"626",73.9,62.3,82.9,64.9,834
"627",69.1,54.7,82,57,781
"628",71.4,53.2,88,55.9,712
"629",74.8,54.9,88,55.9,792
"630",70.2,60.9,82.9,66,731
"631",71.4,63.4,81,64,831
"632",71.7,65.4,81,64.9,845
"633",68.5,62.5,73.9,66,833
"634",71.7,62.7,84.9,63,809
"635",65.9,48.1,84.9,57.9,764
