"","Apr","Aug","Dec","Feb","Jan","Jul","Jun","Mar","May","Nov","Oct","Sep","year","temp","dewp","sndp","NUM_CRIMES"
"282",0,0,0,0,0,0,0,0,0,0,1,0,2015,62.7,51.9,0,794
"283",0,0,0,0,0,0,0,0,0,0,1,0,2015,59.8,48.8,0,774
"284",0,0,0,0,0,0,0,0,0,0,1,0,2015,55,44.5,0,777
"285",0,0,0,0,0,0,0,0,0,0,1,0,2015,61.8,57.9,0,765
"286",0,0,0,0,0,0,0,0,0,0,1,0,2015,51.3,39.1,0,728
"287",0,0,0,0,0,0,0,0,0,0,1,0,2015,49.2,38.7,0,781
"288",0,0,0,0,0,0,0,0,0,0,1,0,2015,53.2,42.9,0,651
"289",0,0,0,0,0,0,0,0,0,0,1,0,2015,52.7,50.5,0,682
"290",0,0,0,0,0,0,0,0,0,0,1,0,2015,40.6,32.8,0,669
"291",0,0,0,0,0,0,0,0,0,0,1,0,2015,45.5,37,0,776
"292",0,0,0,0,0,0,0,0,0,0,1,0,2015,46.8,42.1,0,721
"293",0,0,0,0,0,0,0,0,0,1,0,0,2015,57.9,43.4,0,785
"294",0,0,0,0,0,0,0,0,0,1,0,0,2015,58.4,47.9,0,749
"295",0,0,0,0,0,0,0,0,0,1,0,0,2015,57.5,54.5,0,791
"296",0,0,0,0,0,0,0,0,0,1,0,0,2015,63.8,56.8,0,755
"297",0,0,0,0,0,0,0,0,0,1,0,0,2015,55.5,48.3,0,747
"298",0,0,0,0,0,0,0,0,0,1,0,0,2015,44.3,34.5,0,691
"299",0,0,0,0,0,0,0,0,0,1,0,0,2015,40.8,28.1,0,705
"300",0,0,0,0,0,0,0,0,0,1,0,0,2015,41.7,28.2,0,684
"301",0,0,0,0,0,0,0,0,0,1,0,0,2015,45.1,32.3,0,640
"302",0,0,0,0,0,0,0,0,0,1,0,0,2015,47.9,36.8,0,688
"303",0,0,0,0,0,0,0,0,0,1,0,0,2015,48.4,42,0,693
"304",0,0,0,0,0,0,0,0,0,1,0,0,2015,41.7,27.6,0,679
"305",0,0,0,0,0,0,0,0,0,1,0,0,2015,38.9,26.1,0,696
"306",0,0,0,0,0,0,0,0,0,1,0,0,2015,52.5,33.5,0,722
"307",0,0,0,0,0,0,0,0,0,1,0,0,2015,51.6,35.8,0,744
"308",0,0,0,0,0,0,0,0,0,1,0,0,2015,51,48,0,668
"309",0,0,0,0,0,0,0,0,0,1,0,0,2015,58.4,50.7,0,683
"310",0,0,0,0,0,0,0,0,0,1,0,0,2015,44.6,31.7,0,696
"311",0,0,0,0,0,0,0,0,0,1,0,0,2015,35.9,17.5,0,714
"312",0,0,0,0,0,0,0,0,0,1,0,0,2015,31.9,29.5,9.1,528
"313",0,0,0,0,0,0,0,0,0,1,0,0,2015,19.1,13.2,5.9,520
"314",0,0,0,0,0,0,0,0,0,1,0,0,2015,28.4,22,5.1,650
"315",0,0,0,0,0,0,0,0,0,1,0,0,2015,31.6,26.8,3.9,607
"316",0,0,0,0,0,0,0,0,0,1,0,0,2015,38.3,30.9,3.1,620
"317",0,0,0,0,0,0,0,0,0,1,0,0,2015,52,46.4,3.9,589
"318",0,0,0,0,0,0,0,0,0,1,0,0,2015,45.5,42.5,0,613
"319",0,0,0,0,0,0,0,0,0,1,0,0,2015,34.7,28.5,0,658
"320",0,0,0,0,0,0,0,0,0,1,0,0,2015,32.7,25.7,0,612
"321",0,0,0,0,0,0,0,0,0,1,0,0,2015,40.1,31.7,0,668
"322",0,0,1,0,0,0,0,0,0,0,0,0,2015,41.6,36,0,797
