"","month","year","temp","dewp","sndp","NUM_CRIMES"
"521","Jun",2016,77.7,56,0,811
"522","Jun",2016,83.4,65.5,0,857
"523","Jun",2016,75.5,50.7,0,825
"524","Jun",2016,71.8,58.6,0,749
"525","Jun",2016,70.3,65.6,0,801
"526","Jun",2016,70.9,56.8,0,807
"527","Jun",2016,76.7,61.4,0,813
"528","Jun",2016,81.3,68.7,0,775
"529","Jun",2016,79.6,60,0,771
"530","Jun",2016,68.2,53.5,0,767
"531","Jun",2016,66.8,50.2,0,804
"532","Jun",2016,69.4,50.6,0,847
"533","Jul",2016,65.5,47.8,0,756
"534","Jul",2016,68,51.4,0,782
"535","Jul",2016,70.8,60.1,0,848
"536","Jul",2016,75.5,64.5,0,895
"537","Jul",2016,77.4,66.9,0,742
"538","Jul",2016,76.8,68.8,0,790
"539","Jul",2016,75.9,66.7,0,790
"540","Jul",2016,73.1,58.9,0,729
"541","Jul",2016,72.4,56.5,0,760
"542","Jul",2016,78.3,65.6,0,701
"543","Jul",2016,81.1,69.3,0,780
"544","Jul",2016,77.8,68.9,0,726
"545","Jul",2016,76,64.1,0,769
"546","Jul",2016,70.8,58.2,0,846
"547","Jul",2016,67.3,56.1,0,780
"548","Jul",2016,70.5,59.4,0,789
"549","Jul",2016,78.6,67.1,0,799
"550","Jul",2016,78.6,62.9,0,791
"551","Jul",2016,78.8,65.7,0,825
"552","Jul",2016,81,72.2,0,785
"553","Jul",2016,79.2,70.9,0,792
"554","Jul",2016,84.6,74.6,0,814
"555","Jul",2016,78.5,72.6,0,790
"556","Jul",2016,79,66.4,0,827
"557","Jul",2016,78.9,63.5,0,877
"558","Jul",2016,79.3,63.2,0,795
"559","Jul",2016,76.8,67.2,0,774
"560","Jul",2016,73.2,68.8,0,802
"561","Jul",2016,72.3,65.6,0,927
"562","Jul",2016,72.7,63.9,0,813
"563","Aug",2016,74.7,64.9,0,882
"564","Aug",2016,77.2,65.7,0,793
"565","Aug",2016,79.6,66.1,0,772
"566","Aug",2016,80.7,65.4,0,793
"567","Aug",2016,78.2,67.7,0,862
"568","Aug",2016,75.7,60.1,0,828
"569","Aug",2016,74.7,59,0,838
"570","Aug",2016,76.9,61,0,804
"571","Aug",2016,77.7,60.8,0,725
"572","Aug",2016,80.4,65.5,0,722
"573","Aug",2016,81.7,68.7,0,852
"574","Aug",2016,79.9,72.8,0,746
"575","Aug",2016,77,71.3,0,827
"576","Aug",2016,76.7,63.7,0,843
"577","Aug",2016,74.5,66.1,0,843
"578","Aug",2016,76.5,67.1,0,816
"579","Aug",2016,77,65.6,0,862
"580","Aug",2016,76.9,69,0,767
"581","Aug",2016,75.3,66.2,0,793
"582","Aug",2016,74.7,68.4,0,844
"583","Aug",2016,66.4,55.3,0,786
"584","Aug",2016,67.1,52,0,728
"585","Aug",2016,70.5,58.1,0,753
"586","Aug",2016,74.9,66.5,0,823
"587","Aug",2016,76.4,69,0,770
"588","Aug",2016,72.4,61.3,0,803
"589","Aug",2016,73.6,67.2,0,819
"590","Aug",2016,76.9,69.4,0,805
"591","Aug",2016,75.7,69.3,0,884
"592","Aug",2016,75.6,70.6,0,755
"593","Aug",2016,72.9,62.5,0,780
"594","Sep",2016,67.6,55.3,0,799
"595","Sep",2016,67.9,56,0,830
"596","Sep",2016,69,57.6,0,779
"597","Sep",2016,73.2,62.4,0,822
"598","Sep",2016,82.2,71.6,0,761
"599","Sep",2016,82.5,72.4,0,723
"600","Sep",2016,76.3,70,0,795
