"","Apr","Aug","Dec","Feb","Jan","Jul","Jun","Mar","May","Nov","Oct","Sep","year","temp","dewp","NUM_CRIMES"
"300",0,0,0,0,0,0,0,0,0,1,0,0,2015,41.7,28.2,684
"301",0,0,0,0,0,0,0,0,0,1,0,0,2015,45.1,32.3,640
"302",0,0,0,0,0,0,0,0,0,1,0,0,2015,47.9,36.8,688
"303",0,0,0,0,0,0,0,0,0,1,0,0,2015,48.4,42,693
"304",0,0,0,0,0,0,0,0,0,1,0,0,2015,41.7,27.6,679
"305",0,0,0,0,0,0,0,0,0,1,0,0,2015,38.9,26.1,696
"306",0,0,0,0,0,0,0,0,0,1,0,0,2015,52.5,33.5,722
"307",0,0,0,0,0,0,0,0,0,1,0,0,2015,51.6,35.8,744
"308",0,0,0,0,0,0,0,0,0,1,0,0,2015,51,48,668
"309",0,0,0,0,0,0,0,0,0,1,0,0,2015,58.4,50.7,683
"310",0,0,0,0,0,0,0,0,0,1,0,0,2015,44.6,31.7,696
"311",0,0,0,0,0,0,0,0,0,1,0,0,2015,35.9,17.5,714
"312",0,0,0,0,0,0,0,0,0,1,0,0,2015,31.9,29.5,528
"313",0,0,0,0,0,0,0,0,0,1,0,0,2015,19.1,13.2,520
"314",0,0,0,0,0,0,0,0,0,1,0,0,2015,28.4,22,650
"315",0,0,0,0,0,0,0,0,0,1,0,0,2015,31.6,26.8,607
"316",0,0,0,0,0,0,0,0,0,1,0,0,2015,38.3,30.9,620
"317",0,0,0,0,0,0,0,0,0,1,0,0,2015,52,46.4,589
"318",0,0,0,0,0,0,0,0,0,1,0,0,2015,45.5,42.5,613
"319",0,0,0,0,0,0,0,0,0,1,0,0,2015,34.7,28.5,658
"320",0,0,0,0,0,0,0,0,0,1,0,0,2015,32.7,25.7,612
"321",0,0,0,0,0,0,0,0,0,1,0,0,2015,40.1,31.7,668
"322",0,0,1,0,0,0,0,0,0,0,0,0,2015,41.6,36,797
"323",0,0,1,0,0,0,0,0,0,0,0,0,2015,34.8,31,716
"324",0,0,1,0,0,0,0,0,0,0,0,0,2015,33,28.4,710
"325",0,0,1,0,0,0,0,0,0,0,0,0,2015,36.6,32.2,700
"326",0,0,1,0,0,0,0,0,0,0,0,0,2015,35.8,32.1,707
"327",0,0,1,0,0,0,0,0,0,0,0,0,2015,35.8,31.6,687
"328",0,0,1,0,0,0,0,0,0,0,0,0,2015,33.7,32,689
"329",0,0,1,0,0,0,0,0,0,0,0,0,2015,40,36.6,733
"330",0,0,1,0,0,0,0,0,0,0,0,0,2015,46,40.7,685
"331",0,0,1,0,0,0,0,0,0,0,0,0,2015,48.3,38.4,690
"332",0,0,1,0,0,0,0,0,0,0,0,0,2015,45.9,35.1,742
"333",0,0,1,0,0,0,0,0,0,0,0,0,2015,49.7,45.2,752
"334",0,0,1,0,0,0,0,0,0,0,0,0,2015,55,52.9,652
"335",0,0,1,0,0,0,0,0,0,0,0,0,2015,54.7,51.1,739
"336",0,0,1,0,0,0,0,0,0,0,0,0,2015,41.3,35.8,793
"337",0,0,1,0,0,0,0,0,0,0,0,0,2015,43.3,38.4,722
"338",0,0,1,0,0,0,0,0,0,0,0,0,2015,33.4,24,728
"339",0,0,1,0,0,0,0,0,0,0,0,0,2015,27.7,17.1,653
"340",0,0,1,0,0,0,0,0,0,0,0,0,2015,23.3,12.8,666
"341",0,0,1,0,0,0,0,0,0,0,0,0,2015,34.2,23,693
"342",0,0,1,0,0,0,0,0,0,0,0,0,2015,46.3,40.1,650
"343",0,0,1,0,0,0,0,0,0,0,0,0,2015,39.3,37.3,694
"344",0,0,1,0,0,0,0,0,0,0,0,0,2015,47.1,45.5,754
